11.12.2018 14:28:18: 	null , null , null , RPM Bath Sensor: 2209
11.12.2018 14:28:36: 	null , Humidity: 22 , null , RPM Bath Sensor: 2526
11.12.2018 14:28:37: 	null , Humidity: 22 , null , RPM Bath Sensor: 3143
11.12.2018 14:28:37: 	null , Humidity: 34 , null , RPM Bath Sensor: 3143
11.12.2018 14:28:38: 	null , Humidity: 34 , null , RPM Bath Sensor: 2505
11.12.2018 14:28:38: 	null , Humidity: 46 , null , RPM Bath Sensor: 2505
11.12.2018 14:28:39: 	null , Humidity: 46 , null , RPM Bath Sensor: 3955
11.12.2018 14:28:39: 	null , Humidity: 33 , null , RPM Bath Sensor: 3955
11.12.2018 14:28:40: 	null , Humidity: 33 , null , RPM Bath Sensor: 2668
11.12.2018 14:28:40: 	null , Humidity: 38 , null , RPM Bath Sensor: 2668
11.12.2018 14:38:22: 	null , null , null , RPM Bath Sensor: 2102
11.12.2018 14:38:23: 	null , Humidity: 35 , null , RPM Bath Sensor: 2102
11.12.2018 14:38:23: 	null , Humidity: 35 , null , RPM Bath Sensor: 1272
11.12.2018 14:38:24: 	null , Humidity: 22 , null , RPM Bath Sensor: 1272
11.12.2018 14:38:24: 	null , Humidity: 22 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1272
11.12.2018 14:38:24: 	null , Humidity: 22 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1093
11.12.2018 14:38:25: 	null , Humidity: 34 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1093
11.12.2018 14:38:25: 	null , Humidity: 34 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1093
11.12.2018 14:38:25: 	Temperature: 30 , Humidity: 34 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1093
11.12.2018 14:38:25: 	Temperature: 30 , Humidity: 34 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1830
11.12.2018 14:38:26: 	Temperature: 30 , Humidity: 58 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1830
11.12.2018 14:38:26: 	Temperature: 14 , Humidity: 58 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1830
11.12.2018 14:38:26: 	Temperature: 14 , Humidity: 58 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1830
11.12.2018 14:38:26: 	Temperature: 14 , Humidity: 58 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2239
11.12.2018 14:38:27: 	Temperature: 14 , Humidity: 58 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2239
11.12.2018 14:38:27: 	Temperature: 14 , Humidity: 58 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2239
11.12.2018 14:38:27: 	Temperature: 14 , Humidity: 66 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2239
11.12.2018 14:38:27: 	Temperature: 14 , Humidity: 66 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2642
11.12.2018 14:39:39: 	null , Humidity: 41 , null , null
11.12.2018 14:39:39: 	Temperature: 25 , Humidity: 41 , null , null
11.12.2018 14:39:39: 	Temperature: 25 , Humidity: 41 , Fensterzustand: Fenster geschlossen , null
11.12.2018 14:39:39: 	Temperature: 25 , Humidity: 41 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2732
11.12.2018 14:39:39: 	Temperature: 25 , Humidity: 52 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2732
11.12.2018 14:39:40: 	Temperature: 25 , Humidity: 52 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2732
11.12.2018 14:39:40: 	Temperature: 29 , Humidity: 52 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2732
11.12.2018 14:39:40: 	Temperature: 29 , Humidity: 52 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3374
11.12.2018 14:39:40: 	Temperature: 29 , Humidity: 25 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3374
11.12.2018 14:39:41: 	Temperature: 29 , Humidity: 25 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3374
11.12.2018 14:39:41: 	Temperature: 13 , Humidity: 25 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3374
11.12.2018 14:39:41: 	Temperature: 13 , Humidity: 25 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3265
11.12.2018 14:39:41: 	Temperature: 13 , Humidity: 32 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3265
11.12.2018 14:39:42: 	Temperature: 13 , Humidity: 32 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3265
11.12.2018 14:39:42: 	Temperature: 26 , Humidity: 32 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3265
11.12.2018 14:39:42: 	Temperature: 26 , Humidity: 32 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3608
11.12.2018 14:50:13: 	null , Humidity: 76 , null , null
11.12.2018 14:50:13: 	Temperature: 12 , Humidity: 76 , null , null
11.12.2018 14:50:13: 	Temperature: 12 , Humidity: 76 , Fensterzustand: Fenster geschlossen , null
11.12.2018 14:50:13: 	Temperature: 12 , Humidity: 76 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3663
11.12.2018 14:50:14: 	Temperature: 12 , Humidity: 50 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3663
11.12.2018 14:50:14: 	Temperature: 12 , Humidity: 50 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3663
11.12.2018 14:50:14: 	Temperature: 12 , Humidity: 50 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1145
11.12.2018 14:50:14: 	Temperature: 10 , Humidity: 50 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1145
11.12.2018 14:50:15: 	Temperature: 10 , Humidity: 71 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1145
11.12.2018 14:50:15: 	Temperature: 10 , Humidity: 71 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1145
11.12.2018 14:50:15: 	Temperature: 10 , Humidity: 71 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3548
11.12.2018 14:50:15: 	Temperature: 29 , Humidity: 71 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3548
11.12.2018 14:50:16: 	Temperature: 29 , Humidity: 74 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3548
11.12.2018 14:50:16: 	Temperature: 29 , Humidity: 74 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3548
11.12.2018 14:50:16: 	Temperature: 19 , Humidity: 74 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3548
11.12.2018 14:50:16: 	Temperature: 19 , Humidity: 74 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2240
11.12.2018 14:50:17: 	Temperature: 19 , Humidity: 42 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2240
11.12.2018 14:50:17: 	Temperature: 19 , Humidity: 42 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2240
11.12.2018 14:50:17: 	Temperature: 19 , Humidity: 42 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 459
11.12.2018 14:50:17: 	Temperature: 10 , Humidity: 42 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 459
11.12.2018 14:50:18: 	Temperature: 10 , Humidity: 22 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 459
11.12.2018 14:50:18: 	Temperature: 10 , Humidity: 22 , Fensterzustand: Fenster offen , RPM Bath Sensor: 459
11.12.2018 14:50:18: 	Temperature: 10 , Humidity: 22 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2400
11.12.2018 14:50:18: 	Temperature: 15 , Humidity: 22 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2400
11.12.2018 14:50:19: 	Temperature: 15 , Humidity: 70 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2400
11.12.2018 14:50:19: 	Temperature: 29 , Humidity: 70 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2400
11.12.2018 14:50:19: 	Temperature: 29 , Humidity: 70 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1103
11.12.2018 14:50:19: 	Temperature: 29 , Humidity: 70 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1103
11.12.2018 14:50:20: 	Temperature: 29 , Humidity: 53 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1103
11.12.2018 14:50:20: 	Temperature: 29 , Humidity: 53 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3641
11.12.2018 14:50:20: 	Temperature: 29 , Humidity: 53 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3641
11.12.2018 14:50:20: 	Temperature: 26 , Humidity: 53 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3641
11.12.2018 14:50:21: 	Temperature: 26 , Humidity: 70 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3641
11.12.2018 14:50:21: 	Temperature: 17 , Humidity: 70 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3641
11.12.2018 14:50:21: 	Temperature: 17 , Humidity: 70 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3641
11.12.2018 14:50:21: 	Temperature: 17 , Humidity: 70 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3884
11.12.2018 14:50:22: 	Temperature: 17 , Humidity: 34 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3884
11.12.2018 14:50:22: 	Temperature: 17 , Humidity: 34 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3884
11.12.2018 14:50:22: 	Temperature: 17 , Humidity: 34 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1090
11.12.2018 14:50:22: 	Temperature: 21 , Humidity: 34 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1090
11.12.2018 14:50:23: 	Temperature: 21 , Humidity: 61 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1090
11.12.2018 14:50:23: 	Temperature: 32 , Humidity: 61 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1090
11.12.2018 14:50:23: 	Temperature: 32 , Humidity: 61 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3593
11.12.2018 14:50:23: 	Temperature: 32 , Humidity: 61 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3593
11.12.2018 14:50:24: 	Temperature: 32 , Humidity: 58 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3593
11.12.2018 14:50:24: 	Temperature: 32 , Humidity: 58 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3593
11.12.2018 14:50:24: 	Temperature: 29 , Humidity: 58 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3593
11.12.2018 14:50:24: 	Temperature: 29 , Humidity: 58 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 933
11.12.2018 14:50:25: 	Temperature: 29 , Humidity: 62 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 933
11.12.2018 14:50:25: 	Temperature: 29 , Humidity: 62 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 933
11.12.2018 14:50:25: 	Temperature: 29 , Humidity: 62 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3642
11.12.2018 14:50:25: 	Temperature: 18 , Humidity: 62 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3642
11.12.2018 14:50:26: 	Temperature: 18 , Humidity: 77 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3642
11.12.2018 14:50:26: 	Temperature: 18 , Humidity: 77 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2670
11.12.2018 14:50:26: 	Temperature: 18 , Humidity: 77 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2670
11.12.2018 14:50:26: 	Temperature: 20 , Humidity: 77 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2670
11.12.2018 14:50:27: 	Temperature: 20 , Humidity: 68 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2670
11.12.2018 14:50:27: 	Temperature: 20 , Humidity: 68 , Fensterzustand: Fenster offen , RPM Bath Sensor: 561
11.12.2018 14:50:27: 	Temperature: 20 , Humidity: 68 , Fensterzustand: Fenster offen , RPM Bath Sensor: 561
11.12.2018 14:50:27: 	Temperature: 20 , Humidity: 68 , Fensterzustand: Fenster offen , RPM Bath Sensor: 561
11.12.2018 14:50:28: 	Temperature: 20 , Humidity: 27 , Fensterzustand: Fenster offen , RPM Bath Sensor: 561
11.12.2018 14:50:28: 	Temperature: 38 , Humidity: 27 , Fensterzustand: Fenster offen , RPM Bath Sensor: 561
11.12.2018 14:50:28: 	Temperature: 38 , Humidity: 27 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2812
11.12.2018 14:50:28: 	Temperature: 38 , Humidity: 27 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2812
11.12.2018 14:50:29: 	Temperature: 38 , Humidity: 33 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2812
11.12.2018 14:50:29: 	Temperature: 38 , Humidity: 33 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2812
11.12.2018 14:50:29: 	Temperature: 38 , Humidity: 33 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1511
11.12.2018 14:50:29: 	Temperature: 16 , Humidity: 33 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1511
11.12.2018 14:50:30: 	Temperature: 16 , Humidity: 74 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1511
11.12.2018 14:50:30: 	Temperature: 19 , Humidity: 74 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1511
11.12.2018 14:50:30: 	Temperature: 19 , Humidity: 74 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1511
11.12.2018 14:50:30: 	Temperature: 19 , Humidity: 74 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3436
11.12.2018 14:50:31: 	Temperature: 19 , Humidity: 31 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3436
11.12.2018 14:50:31: 	Temperature: 19 , Humidity: 31 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3489
11.12.2018 14:50:31: 	Temperature: 19 , Humidity: 31 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3489
11.12.2018 14:50:31: 	Temperature: 32 , Humidity: 31 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3489
11.12.2018 14:50:32: 	Temperature: 32 , Humidity: 29 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3489
11.12.2018 14:50:32: 	Temperature: 32 , Humidity: 29 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3489
11.12.2018 14:50:32: 	Temperature: 14 , Humidity: 29 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3489
11.12.2018 14:50:32: 	Temperature: 14 , Humidity: 29 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1471
11.12.2018 14:50:33: 	Temperature: 14 , Humidity: 36 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1471
11.12.2018 14:50:33: 	Temperature: 29 , Humidity: 36 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1471
11.12.2018 14:50:33: 	Temperature: 29 , Humidity: 36 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1471
11.12.2018 14:50:33: 	Temperature: 29 , Humidity: 36 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3769
11.12.2018 14:50:34: 	Temperature: 29 , Humidity: 28 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3769
11.12.2018 14:50:34: 	Temperature: 33 , Humidity: 28 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3769
11.12.2018 14:50:34: 	Temperature: 33 , Humidity: 28 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3769
11.12.2018 14:50:34: 	Temperature: 33 , Humidity: 28 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2962
11.12.2018 14:50:35: 	Temperature: 33 , Humidity: 50 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2962
11.12.2018 14:50:35: 	Temperature: 33 , Humidity: 50 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2962
11.12.2018 14:50:35: 	Temperature: 19 , Humidity: 50 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2962
11.12.2018 14:50:35: 	Temperature: 19 , Humidity: 50 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1894
11.12.2018 14:50:36: 	Temperature: 19 , Humidity: 20 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1894
11.12.2018 14:50:36: 	Temperature: 39 , Humidity: 20 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1894
11.12.2018 14:50:36: 	Temperature: 39 , Humidity: 20 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1894
11.12.2018 14:50:36: 	Temperature: 39 , Humidity: 20 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2693
11.12.2018 14:50:37: 	Temperature: 39 , Humidity: 62 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2693
11.12.2018 14:50:37: 	Temperature: 39 , Humidity: 62 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2693
11.12.2018 14:50:37: 	Temperature: 16 , Humidity: 62 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2693
11.12.2018 14:50:37: 	Temperature: 16 , Humidity: 62 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3238
11.12.2018 14:50:38: 	Temperature: 16 , Humidity: 78 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3238
11.12.2018 14:50:38: 	Temperature: 16 , Humidity: 78 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3238
11.12.2018 14:50:38: 	Temperature: 39 , Humidity: 78 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3238
11.12.2018 14:50:38: 	Temperature: 39 , Humidity: 78 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2157
11.12.2018 14:50:39: 	Temperature: 39 , Humidity: 76 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2157
11.12.2018 14:50:39: 	Temperature: 39 , Humidity: 76 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2157
11.12.2018 14:50:39: 	Temperature: 18 , Humidity: 76 , Fensterzustand: Fenster offen , RPM Bath Sensor: 2157
11.12.2018 14:50:39: 	Temperature: 18 , Humidity: 76 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1925
11.12.2018 14:50:40: 	Temperature: 18 , Humidity: 58 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1925
11.12.2018 14:50:40: 	Temperature: 18 , Humidity: 58 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1925
11.12.2018 14:50:40: 	Temperature: 29 , Humidity: 58 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1925
11.12.2018 14:50:40: 	Temperature: 29 , Humidity: 58 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1256
11.12.2018 14:50:41: 	Temperature: 29 , Humidity: 35 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1256
11.12.2018 14:50:41: 	Temperature: 29 , Humidity: 35 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1256
11.12.2018 14:50:41: 	Temperature: 29 , Humidity: 35 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 312
11.12.2018 14:50:41: 	Temperature: 21 , Humidity: 35 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 312
11.12.2018 14:50:42: 	Temperature: 21 , Humidity: 25 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 312
11.12.2018 14:50:42: 	Temperature: 21 , Humidity: 25 , Fensterzustand: Fenster offen , RPM Bath Sensor: 312
11.12.2018 14:50:42: 	Temperature: 21 , Humidity: 25 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1056
11.12.2018 14:50:42: 	Temperature: 15 , Humidity: 25 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1056
11.12.2018 14:50:43: 	Temperature: 15 , Humidity: 72 , Fensterzustand: Fenster offen , RPM Bath Sensor: 1056
11.12.2018 14:50:43: 	Temperature: 15 , Humidity: 72 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 1056
11.12.2018 14:50:43: 	Temperature: 15 , Humidity: 72 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3138
11.12.2018 14:50:43: 	Temperature: 26 , Humidity: 72 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3138
11.12.2018 14:50:44: 	Temperature: 26 , Humidity: 72 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3138
11.12.2018 14:50:44: 	Temperature: 26 , Humidity: 72 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3138
11.12.2018 14:50:44: 	Temperature: 25 , Humidity: 72 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3138
11.12.2018 14:50:44: 	Temperature: 25 , Humidity: 72 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2812
11.12.2018 14:50:45: 	Temperature: 25 , Humidity: 22 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2812
11.12.2018 14:50:45: 	Temperature: 25 , Humidity: 22 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2812
11.12.2018 14:50:45: 	Temperature: 25 , Humidity: 22 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3854
11.12.2018 14:50:45: 	Temperature: 33 , Humidity: 22 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3854
11.12.2018 14:50:46: 	Temperature: 33 , Humidity: 64 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3854
11.12.2018 14:50:46: 	Temperature: 33 , Humidity: 64 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3854
11.12.2018 14:50:46: 	Temperature: 33 , Humidity: 64 , Fensterzustand: Fenster offen , RPM Bath Sensor: 502
11.12.2018 14:50:46: 	Temperature: 17 , Humidity: 64 , Fensterzustand: Fenster offen , RPM Bath Sensor: 502
11.12.2018 14:50:47: 	Temperature: 17 , Humidity: 55 , Fensterzustand: Fenster offen , RPM Bath Sensor: 502
11.12.2018 14:50:47: 	Temperature: 17 , Humidity: 55 , Fensterzustand: Fenster offen , RPM Bath Sensor: 502
11.12.2018 14:50:47: 	Temperature: 17 , Humidity: 55 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3471
11.12.2018 14:50:47: 	Temperature: 11 , Humidity: 55 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3471
11.12.2018 14:50:48: 	Temperature: 11 , Humidity: 32 , Fensterzustand: Fenster offen , RPM Bath Sensor: 3471
11.12.2018 14:50:48: 	Temperature: 11 , Humidity: 32 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 3471
11.12.2018 14:50:48: 	Temperature: 11 , Humidity: 32 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2407
11.12.2018 14:50:48: 	Temperature: 31 , Humidity: 32 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2407
11.12.2018 14:50:49: 	Temperature: 31 , Humidity: 45 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2407
11.12.2018 14:50:49: 	Temperature: 31 , Humidity: 45 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 2407
11.12.2018 14:50:49: 	Temperature: 31 , Humidity: 45 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 434
11.12.2018 14:50:49: 	Temperature: 11 , Humidity: 45 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 434
11.12.2018 14:50:50: 	Temperature: 11 , Humidity: 23 , Fensterzustand: Fenster geschlossen , RPM Bath Sensor: 434
11.12.2018 14:50:50: 	Temperature: 11 , Humidity: 23 , Fensterzustand: Fenster offen , RPM Bath Sensor: 434
11.12.2018 14:50:50: 	Temperature: 11 , Humidity: 23 , Fensterzustand: Fenster offen , RPM Bath Sensor: 864
11.12.2018 14:50:50: 	Temperature: 21 , Humidity: 23 , Fensterzustand: Fenster offen , RPM Bath Sensor: 864
11.12.2018 14:50:51: 	Temperature: 21 , Humidity: 61 , Fensterzustand: Fenster offen , RPM Bath Sensor: 864
11.12.2018 14:50:51: 	Temperature: 21 , Humidity: 61 , Fensterzustand: Fenster offen , RPM Bath Sensor: 864
11.12.2018 14:50:51: 	Temperature: 21 , Humidity: 61 , Fensterzustand: Fenster offen , RPM Bath Sensor: 916
11.12.2018 14:50:51: 	Temperature: 36 , Humidity: 61 , Fensterzustand: Fenster offen , RPM Bath Sensor: 916
11.12.2018 14:50:52: 	Temperature: 36 , Humidity: 76 , Fensterzustand: Fenster offen , RPM Bath Sensor: 916
